EIN_value,Name,State,City,NTEE_Code,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
760460235,Rosalie And Joiner Cartwright Jr Foundation,TX,Houston,T22Z,LETTER OF APPLICATION,DR JOINER CARTWRIGHT,"NO DEADLINES, ONGOING",NONE,no,
362984045,Usg Foundation Inc,IL,Chicago,,A GRANT PROPOSAL IN WRITING IN THE FORM OF A LETTER OUTLINING THE FOLLOWING: - A STATEMENT AND BACKGROUND SUMMARY OF THE NEED OR PROBLEM - REASON WHY THE USG FOUNDATION INC WOULD BE INTERESTED IN THE PROPOSAL - THE AMOUNT OF THE MONETARY REQUEST AND HOW IT WILL BE UESD - A COPY OF THE ORGANIZATIONS 501 c 3 TAX EXEMPTION LETTER FROM THE IRS,Diane Earll,N A,TO RECEIVE A DONATION FROM THE USG FOUNDATION THE ORGANIZATION MUST BE A NOT FOR PROFIT ORGANIZATION WITH IRS 501c3 TAX EXEMPT STATUS OR A SIMILAR QUALIFIED ORGANIZATION IN ONE OF THE FOLLOWING CATEGORIES: - COLLEGE OR UNIVERSITY THAT GRANTS A FOUR YEAR OR HIGHER DEGREE IS LOCATED IN THE U.S. AND IS ACCREDITED. - HOSPITALS HOSPICE AND HEALTH AND WELFARE ORGANIZATIONS THAT ARE ACCREDITED BY AN APPROPRIATE REGIONAL OR PROFESSIONAL ASSOCIATION AND PROVIDE A SERVICE TO THE COMMUNITY. - CULTURAL AND COMMUNITY ORGANIZATIONS SUCH AS MUSEUMS ORCHESTRAS LIBRARIES HISTORICAL SOCIETIES PUBLIC BROADCASTING SYSTEMS PERFORMING ARTS CENTERS COMMUNITY CENTERS FOOD PANTRIES ANIMAL SHELTERS FESTIVALS ZOOS AND BOTANICAL GARDENS.,no,
746013920,Houston Endowment Inc,TX,Houston,T20,See supplemental information on page 14,See supplemental info on page 14,See supplemental information on page 14,See supplemental information on page 14,no,
261595087,Durham Sports Club Scholarship Foundation,NC,Durham,B82,Durham Youth Sports Program,Kim E Anglin,5 15 203,1. Recipient must be a charitable organization under IRS Code 501 c 3. 2. Organization provides goods or services to youth living in Durham North Carolina.,no,
223790897,Kentner And Elizabeth Wilson Scholarship Trust Fund,NJ,Pennington,B82,TRUST FORM,WILSON SCHOLARSHIP TRUST FUND,SUBMIT BI-ANNUALLY BY EXTERNAL SCHOLARSHIP COMMITTEE,UNIVERSITY OF MN IS TO APPLY THE AWARDS TO THE FALL AND SPRING TUITION BILLS FOR AWARDED STUDENTS,no,
46039361,Fisher And Fuel Society Of Beverly,MA,Beverly,,"WRITTEN INFORMAL APPEAL FROM CLERGY, SOCIAL WELFARE AGENCY OR OTHER RECOGNIZED AGENCY ATTESTING TO THE NEED OF THE PERSON(S) REQUESTING AID.",PETER A HERSEE,NONE,"TO ASSIST ANY INHABITANT OF BEVERLY, MASSACHUSETTS WHO BY REASON OF ILLNESS OR MISFORTUNE MAY NEED SPECIAL ASSISTANCE.",no,
391907450,Joe And Nila White Hasler Foundation Inc,IL,Paris,B40Z,WRITTEN APPEAL,DOUG HASLER,NONE,"ORGANIZATIONS/INDIVIDUALS IN GREENE COUNTY, IN OR CENTRAL IL.",no,
223101265,Mary E & John J Fleming Scholarship Tr Fbo Boston College H S,MA,Cambridge,,A letter from applicants describing their qualifications.,Ann O'Malley,none,"Students who are admitted to or enrolled at Boston College High School who are residents of Cohasset, MA.",no,
743072546,Essential Foundation,CA,San Diego,T22,PUBLIC CHARITY ORGANIZATIONS WRITE LETTERS TO THE FOUNDATION TO REQUEST FUNDS; THERE IS NO FORMAL APPLICATION PROCESS.,BRYAN B MIN,NONE,NONE,no,
465120460,Electron Electric Dipole Moment Research Foundation,CA,San Rafael,U05,,Steven S Lucas,,,no,
351995642,The Mirer Family Foundation Inc,CA,Solana Beach,T20Z,"SUBMIT A WRITTEN REQUEST DESCRIBING THE INTENDED USE OF THE CONTRIBUTION, INFORMATION REGARDING THE SOLICITOR, AND PROVIDE SUBSTANTIATION OF CHARITABLE STATUS, INCLUDING DETERMINATION LETTER ISSUED BY THE INTERNAL REVENUE SERVICE.",HAMILTON THARP LLP,YEAR-ROUND,"THE FOUNDATION RESERVES THE RIGHT TO DETERMINE THE APPROPRIATE AMOUNT TO CONTRIBUTE TO SOLICITATION OF FUNDS, INCLUDING THE DENIAL OF CONTRIBUTION BASED ON THE LACK OF COMPLETE INFORMATION PROVIDED IN THE SOLICITOR'S REQUEST APPLICATION.",no,
200956422,Corde Valle Youth Golf Foundation Inc,CA,San Martin,T22,COMPLETE ONLINE APPLICATION.,LUCA RUTIGLIANO,NOVEMBER 1,"TO BE ELIGIBLE FOR FUNDING, THE ORGANIZATION MUST SPEND NO MORE THAN 15% OF ITS TOTAL BUDGET ON ADMINISTRATIVE AND OVERHEAD COSTS. ALSO, NO MORE THAN 15% OF FUNDS RECEIVED FROM CORDE VALLE YOUTH GOLF FOUNDATION CAN BE SPENT ON ADMINISTRATIVE AND OVERHEAD COSTS COMBINED.",no,
812758823,The Bixby Foundation,MI,Livonia,X20,PURSUANT TO GUIDELINES AT WEBSITE: REMEMBERINGJANET.COM,KELLY BIXBY,JUNE 30TH,MUST BE ENROLLED IN CHRISTIAN SCHOOL IN MICHIGAN STUDY OF CONCENTRATION IN THE FIELD OF MINISTRY INTEND TO SERVE IN CHRISTIAN MINISTRY,no,
815292887,Mds Ehsan Nonprofit Organization,MA,Chelmsford,Q33,,KAMRAN EHSAN,,,no,
466012618,Sioux Steel Company Foundation,SD,Sioux Falls,,WRITTEN FORM STATING PURPOSE FOR WHICH FUNDS WILL BE USED.,PHILLIP M RYSDON,APPLICATIONS ACCEPTED AT ANY TIME.,NONE,no,
263863383,Ken & Carol Schultz Foundation,AZ,Phoenix,T22,ONLINE LETTER OR INTEREST LOCATED AT HTTP://KCSHULTZFOUNDATION.ORG/GRANT-APPLICATIONS/LETTER- OF-INTEREST/. GRANT APPLICATION WILL BE FORWARDED TO INVITED APPLICANTS.,APPLY ONLINE,"FEBRUARY 28 ANNUAL TO SUBMIT A LETTER OF INTEREST. IF INVITED, GRANT APPLICATIONS ARE DUE JULY 1 ANN","SUPPORTS EDUCATIONAL PROJECTS, HEALTHCARE ADVANCEMENT, ANIMAL WELFARE, AND ENCOURAGES THE STUDY OF THE HISTORY CREATED BY PRIOR GENERATIONS.",no,
256678476,The Bff Friendship Foundation,PA,Villanova,T20,WRITTEN REQUEST,DAVID M MILBERG,NONE,NONE,no,
237399932,Roy Chesney Fund Inc,AR,Siloam Springs,,"APPLICATION FROM ORGANIZATION, AMOUNT REQUESTED, AND BACKGROUND INFORMATION.",TIM MCCORD THE ROY CHESNEY FUND,DECEMBER 31,"GRANTS FROM THE ROY CHESNEY FUND, INC. ARE MADE IN ACCORDANCE WITH THE SPECIFICATIONS AS OUTLINED IN THE WILL OF ROY CHESNEY WHICH ARE: - TO CONTRIBUTE TO ORGANIZATIONS RELIEVING THE EFFECTS OF DISEASE AND DISASTER; TO ORGANIZATIONS WHICH ENCOURAGE THE APPRECIATION OF ART, MUSIC AND LITERATURE; AND TO SCHOOLS FOR EDUCATIONAL PURPOSES. - GRANTS WILL BE MADE TO NON-PROFIT ORGANIZATIONS OR GOVERNMENT AGENCIES, AND WILL NOT BE MADE TO INDIVIDUALS. GRANTS MAY NOT BE MADE TO CHURCHES FOR RELIGIOUS PURPOSES. GRANTS WILL BE FOR CURRENT EXPENSE OF SUCH ORGANIZATIONS, AND WILL NOT BE MADE FOR EXPENSES WHICH ARE NOT INCURRED DURING THE YEAR FUNDED. - GRANTS ARE BASED UPON THE FINANCIAL NEED OF THE ORGANIZATION AS WELL AS THE PURPOSE FOR WHICH THE ORGANIZATION WILL USE THE FUNDS. - THE FUND DOES NOT DISCRIMINATE AGAINST ANY CLASS OF PERSONS PROTECTED BY LAW.",no,
916574050,Wayne C Stewart Foundation,WI,Milwaukee,B82,CONTACT ABOVE,LINDA THOMAS BUSH,CONTACT ABOVE,"RESIDENTS OF GRANT COUNTY, OR",no,
42607208,Lotta M Crabtree Trust Uw Lotta Fund For Discharged Convicts,MA,Boston,,LETTER,JULIA SATTI COSENTINO,NONE,GEOGRAPHICAL RESTRICTIONS,no,
465152946,Teb Foundation Inc,OK,Tulsa,T20,,KELLY F MONAGHAN,,,no,
421322064,Orphans Education Foundation,NV,Reno,,GENERAL REQUEST LETTER,REDDY REGANTI,NONE,NONE,no,
113236306,Haji Usman & Hazarabai Mundia Foundation Inc,NY,Garden City,S80Z,A FORMAL LETTER REQUEST MUST BE SUBMITTED TO THE ORGANIZATION. SPECIFIC INFORMATION RELEVANT TO THE REQUEST MUST BE PROVIDED INCLUDING PURPOSE AND AMOUNT. ANY OTHER INFORMATION WHICH YOU THINK WILL HELP IDENTIFY THE PURPOSE SHOULD BE SUBMITTED.,DR ABDUL MUNDIA,THERE ARE NO SUBMISSION DEADLINES.,EACH REQUEST WILL BE EVALUATED INDIVIDUALLY.,no,
205140473,Newportfed Charitable Foundation,RI,Newport,T22,"A LETTER DESCRIBING (1) THE PROPOSED PURPOSE FOR THE GRANT, (2) THE OPERATIONS/HISTORY OF THE PETITIONING ORGANIZATION AND (3) THE ORGANIZATION'S EXEMPT STATUS.",NEWPORTFED CHARITABLE FOUNDATION,SEE WWW.NEWPORTFEDFOUNDATION.ORG,NONE,no,
756035231,Willingham Foundation,NJ,Pennington,T20Z,SUBMIT IN WRITING AND INCLUDE INFORMATION AS TO THE USE OF FUNDS,REBECCA BUSHKUHL BANK OF AMERICA,MAY 31,SEE ATTACHMENT,no,
223694713,Hunter Douglas Foundation Inc,NY,Pearl River,T21,FORMAL APPLICATIONS SHOULD BE SUBMITTED,HUNTER DOUGLAS ATTN KATHY O'KEEFE A,ANNUAL BY MID SEPTEMBER,CHILDREN OF EMPLOYEES OF HUNTER DOUGLAS INC & ITS RELATED SUBSIDIARIES,no,
237425631,Woodruff Foundation,OH,Shaker Hts,,"NO SPECIFIC APPLICATION OR PROPOSAL FORM IS USED. APPLICANTS SHOULD SUBMIT PROPOSALS THAT SHOULD INCLUDE ITEMS SUCH AS:1. PURPOSE OF THE PROPOSAL2. A BRIEF HISTORY AND PURPOSE OF THE ORGANIZATION3. A PROFILE OF CLIENTS SERVED, A SUMMARY OF TEH SERVICES OFFERED ALONG WITH THE SERVICE AREA AND APPLICABLE STATISTICS4. AN EXPLANANTION OF SPECIFIC GRANT REQUEST INCLUDING OBJECTIVES, TIME FRAME AND BUDGET5. A STATEMENT OF INCOME AND EXPENSES FOR THE PRECEDING YEAR AND A CURRENT BUDGET6. A LIST OF THE BOARD OF TRUSTEES7. A COPY OF THE LATEST AUDITED FINANCIAL STATEMENTS8. A COPY OF THE MOST RECENT ANNUAL REPORT",WOODRUFF FOUNDATION,NONE,NONE,no,
133736320,Judith Rothschild Foundation,PA,Philadelphia,,,HARVEY S SHIPLEY MILLER TRUSTEE,,,no,
453218282,Willard G Aschenbrener Charitable Trust,IL,Chicago,T11,"WRITTEN REQUEST WITH ORGANIZATION NAME, REASON FOR REQUEST AND DOLLAR AMOUNT",BMO HARRIS BANK N A,NONE,"RELIGIOUS, CHARITABLE, SCIENTIFIC, LITERARY OR EDUCATIONAL PURPOSES",no,
912052930,Donnie Royal Foundation,NC,Fayetteville,T22,CONTACT INDIVIDUAL IN 2A FOR DETAILS,WILLIAM T ALLEN,NONE,NONE,no,
141691901,Keelan Family Foundation,VT,Arlington,,All applications for funds are to be submitted in writing.,Verrall A Keelan,,"In general, awards are limted to $5,000 and are given for reglious, educational, medical & historical purposes.",no,
770094228,Dr Earl H Myers & Ethel M Myers Oceanographic & Marine Bio Tr,CA,Pacific Grove,,LETTER APPLICATION ( NOT A FORMAL APPLICATION FORM),MARINE BIOLOGY RESEARCH,MARCH 31,MARINE BIOLOGY RESEARCH,no,
751385809,B B Owen Trust,TX,Richardson,,(1) NATURE OF NEED (2) AMOUNT OF REQUEST (3) IRS EXEMPTION LETTER,MONTY JACKSON,NONE,"DALLAS, TEXAS AREA 501(C)(3) ORGANIZATIONS",no,
205264413,The@Five Thirty Foundation Inc,GA,Atlanta,T22,WRITTEN,MARK B CHANDLER,,,no,
382411884,The Zondervan Foundation,MI,Rockford,,"A LETTER EXPLAINING THE CHARITABLE PURPOSE, DETAILED PROJECT INFO, COMPLETED GRANT REQUEST FORM. FORM IS AVAILABLE UPON REQUEST FROM ABOVE CONTACT IN PART XV LINE 2A.",MARILYN FABER,REQUESTS ARE REVIEWED IN FEBRUARY AND OCTOBER OF EACH YEAR,THE REQUEST MUST BE CONSISTANT WITH THE MISSION STATEMENT OF THE FOUNDATION,no,
112997256,Thomas A Famigletti Foundation,NY,New York,,A LETTER.,DOUGLAS FAMIGLETTI,NO.,NO.,no,
223149570,Pia Nys Graphic Arts Education Foundation Inc,NY,Amherst,,WRITE DESCRIBING THE PROJECT INCLUDING BUDGET INFORMATION.,TIMOTHY FREEMAN,NONE,PROJECTS IN COMPLIANCE WITH FOUNDATION GOALS WITHINFOUNDATION AREA.,no,
810670535,Robert & Ava Lee Maydew Scholarship Tr,KS,Phillipsburg,T20,"INCLUDE A CURRENT TRANSCRIPT, SHORT ESSAY STATING EDUCATIONAL GOALS, PLAN FOR ACHEIVEMENT, AND GENERAL STATEMENT OF REASONS FOR CHOOSING SPECIFIC FIELD OF STUDY, AND A LIST OF SCHOLASTIC, EXTRACIRRICULAR ACTIVITIES, WORK HISTORY, ACHEIVEMENTS, AND ACCOMPLISHMENTS.",FIRST NATIONAL BANK TRUST,APRIL 1ST,"MUST BE A PROSPECTIVE GRADUATE OF SMITH CENTER HIGH SCHOOL PLANNING TO ATTEND AN ACCREDITED UNIVERSITY, COLLEGE, OR JUNIOR COLLEGE, ATTAINED A ""B"" AVERAGE OR HIGHER, AND A RELATIVE OF A GRADUATE OF LEBANON HIGH SCHOOL",no,
437037871,Mysun Charitable Foundation,MO,Clayton,,AT APPLICANT'S DISCRETION,CINDY LEWIS COMMERCE TRUST COMPANY,NONE,NONE,no,
208104471,Robert And Sherry Rogers Mdfoundation Inc,FL,Sarasota,T20,SEE ATTACHED COPY OF GRANT APPLICATION,ROBERT AND SHERRY ROGERS MD FOUND,THERE ARE NO SUBMISSION DEADLINES,FOR BISHOPRIC MEDICAL LIBRARY AND EDUCATION,no,
421176039,Madden Mallory Foundation,IA,Luverne,,FORMS AVAILABLE FROM SCHOOL,ALGONA COMM SCHOOL,,WITHIN STATE OF IOWA,no,
366091579,Dawe Family Foundation,IL,Deerfield,,LETTER,CHARLES R DAWE,NONE,NO,no,
464194065,Wooden Boats For Veterans,CA,Sausalito,W99,,,,,no,
136165238,David M C Ju Foundation,NJ,Mendham,,"WRITTEN APPLICATIONS ONLY-STATING NAME,GOAL AND NATURE OF PROJECT",WILLIAM JU,BETWEEN SEPTEMBER 1 AND DECEMBER 1 FOR THE FOLLOWING YEAR,DIRECT APPLICATIONS FROM INDIVIDUALS WILL NOT BE ACCEPTED; ONLY RECOMMENDATIONS BY THE ORIGINAL SPONSOR ORGANIZATION. ONLY SHORT TERM GRANTS WILL BE MADE.,no,
261079735,International Pnh Interest Group,VA,Portsmouth,H054,CONTACT DAWN MCKNIGHT FOR REQUIREMENTS,DAWN MCKNIGHT,NONE,NONE,no,
311781886,Billy And Ruby Hale Family Foundation,TX,Sugar Land,T22,WRITTEN APPLICATION IN THEIR OWN WORDS SPECIFYING THE AMOUNT REQUESTED AND HOW THE FUNDS WILL BE USED.,BILLY HALE,NONE,NONE,no,
721495656,Mary & Al Danos Family Foundation,LA,Gray,T22,"THE MARY & AL DANOS FAMILY FOUNDATION IS TO RECEIVE AND MAINTAIN PROPERTY EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, SCIENTIFIC, TESTING FOR PUBLIC SAFETY, LITERARY OR EDUCATIONAL PURPOSES, EITHER DIRECTLY OR BY CONTRIBUTIONS TO ORGANIZATION THAT QUALIFY AS EXEMPT ORGANIZATIONS UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE OF 1986, AS THEY NOW EXIST OR AS THEY MAY HEREAFTER BE AMENDED. ANY PARTY INTERESTED IN SOLICITING FUNDS FROM THE FOUNDATION SHOULD SUBMIT AN APPLICATION CONTAINING THE NAMES AND ADDRESSES OF THE SOLICITING ORGANIZATION, ITS NOT-FOR-PROFIT FUNCTION, AND A BRIEF DESCRIPTION OF HOW SUCH FUNDS WOULD BE UTILIZED TO FURTHER SUCH FUNCTION. THE FOUNDATION ASSUMES NO RESPONSIBILITY FOR PROCESSING SUCH APPLICATIONS NOR GUARANTEES THAT FUNDS WILL BE AWARDED TO ANY APPLICANT.",RENE DANOS DAVID,NONE,NONE,no,
367279662,Winning Ways Foundation,NC,Charlotte,T20,,Ross Cahn,,,no,
942624585,M A I A Inc,CA,Aptos,B90,SHORT LETTER OR COMMUNICATION CITING ORGANIZATION OR STUDENT APPLICANT. DETAILS ARE INVESTIGATED BY A BOARD MEMBER. CONTRIBUTION IS MADE UPON APPROVAL.,MAIA FOUNDATION ATTN BONNIE GUTIERR,NONE,NONE,no,
631075632,Finis Morgan Family Foundation,GA,Columbus,,"FORM OF SUBMISSION IS IN FORM OF A LETTER WHICH INCLUDES THE NAME OF THE APPLICANT, WITH APPROPRIATE ADDRESS, TELEPHONE NUMBER, COMPLETE DESCRIPTION OF APPLICANT ORGANIZATION AND THEIR PURPOSE. PURPOSE OF REQUEST AND AMOUNT.",DAVID BUFOGLE,"December 15th, 2022","AWARDS ARE RESTRICTED TO RELIGIOUS, CHARITABLE, SCIENTIFIC, LITERARY AND EDUCATIONAL PURPOSES WHICH ARE EXEMPT ORGANIZATIONS AS DEFINED UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE.",no,
421675610,Stephanie Boyd Memorial Scholarship Fund,AL,Owens X Rds,B82,A WRITTEN SUBMISSION CONTAINING THE INDIVIDUAL'S RESUME AND A PERSONAL STATEMENT AS TO THEIR DESIRE AND QUALIFICATIONS TO RECEIVE THE SCHOLARSHIP GRANT.,WILLIAM L ADCOX,PRIOR TO SCHOOL BEGINNING EACH SEMESTER,"THE FOUNDATION MANAGES AND MAINTAINS EDUCATIONAL SCHOLARSHIPS IN GENERAL OR SPECIAL FIELDS OR FOR GENERAL OR SPECIFIC GROUPS TO BE ESTABLISHED UPON THE BASIS OF AGE, SEX, PERSONALITY AND PHYSICAL AND MENTAL CAPABILITIES OR ANY OR ALL OF THEM AS DETERMINED BY THE BOARD OF DIRECTORS AND TO GRANT SAID SCHOLARSHIPS TO STUDENTS AS ARE DEEMED PROFICIENT AND FITTED TO RECIEVE THEM.",no,
46314384,Sidney H & Mary L Langille Gray,PA,Pittsburgh,,A LETTER REQUESTING FORMAL APPLICATION FORM. COMPLETED APPLICATION SHOULD BE SUBMITTED BY MAY 1ST.,PNC BANK N A,MAY 1ST.,"RECIPIENTS ARE GRADUATES FROM A SECONDARY SCHOOL IN MA, WITH PREFERENCE GIVEN TO GRADUATES FROM SECONDARY SCHOOLS IN MIDDLESEX COUNTY.",no,
311704650,Adele M Thomas Charitable Foundation Inc,VA,Falls Church,T22,SEE SUPPLEMENTARY INFORMATION STATEMENT,JOHN V THOMAS,NONE,NONE,no,
742437013,Bpoe No 385 Scholarship Foundation,AZ,Tucson,,APPLICATION FORMS MUST BE OBTAINED AND COMPLETED OBTAINED THROUGH THE LODGE OFFICE,ROBERT HOLYOAK,NONE,"NO PARTICULAR INSTITUTIONS, AWARDS MADE UPON FINANCIAL NEED",no,
454616291,Mcmahon Foundation,FL,Naples,T20,"WRITTEN AND STATE NATURE OF FUNDS USE AND THE BENEFITS TO THE PARTICIPANTS, COMMUNITY, ETC.",TIM MCMAHON,NONE,NONE,no,
421375212,Schiller Family Foundation,IA,Newton,,NO CURRENT FORM IS USED; CURRENT EXEMPTION LETTER REQUESTED,SUSAN FORTUNE,NONE,ONLY ORGANIZATIONS EXEMPT UNDER 501(C) AND NOT 509(A),no,
464802331,Moss Family Foundation Inc,FL,Wilton Manors,T21,THERE IS NO FORMAL APPLICATION OR REQUIRED FORMAT.,MICHELLE DANIELS,THERE ARE NO SUBMISSION DEADLINES.,REQUEST MUST BE MADE BY IRC 501 (C)(3) ORGANIZATIONS.,no,
204499067,Church State And Industry Foundation Inc,IA,Polk City,B82,Scholarship Application Available upon Request,Church State Industry Foundation In,See Application,See Application,no,
810692244,Changing Lanes Drive 2 Success,CA,San Diego,P20,,Stacy DenHerder,,,no,
431730251,The Gilbert Foundation,MO,Saint Louis,T20,"ESSAY, TEST SCORES, GRADES, LETTERS OF RECOMMENDATIONS",WILLIAM A GILBERT,EMPLOYEES' CHILDREN AND GRANDCHILDREN SCHOLARSHIP PROGRAM APPLICATION DEADLINE IS IN MAY,PARENTS OR GRANDPARENTS MUST WORK FOR COMPANY (ANOVA INC.) ACCREDITED SCHOOL TUITION EDUCATION INSTITUTION MUST BE NATURAL OR LEGALLY ADOPTED CHILD OR GRANDCHILD OF CURRENT EMPLOYEE OR ANY CHILD OR GRANDCHILD OF AN EMPLOYEE WHO RECEIVED A GRANT IN IMMEDIATELY PRECEDING YEAR,no,
813953762,Daniel W Dietrich Ii Foundation,PA,Philadelphia,T20,"TWO COPIES IN WRITING, OUTLINING THE NATURE OF THE ORGANIZATION, INTENDED USE OF THE FUNDS, ACCOMPANIED BY A COPY OF IRS LETTER OF DETERMINATION OF CHARITABLE STATUS INDICATING THE RECIPIENT IS NOT A PRIVATE FOUNDATION.",FRANK G COOPER,,"THE FOUNDATION INTENDS TO MAKE GRANTS IN SUPPORT OF PROJECTS WHICH BENEFIT THE ARTS IN GENERAL, INCLUDING, WITHOUT LIMITATION, VISUAL ARTS, LITERATURE, AND THE PERFORMING ARTS.",no,
842538115,Mcc Ffa Ag Boosters,MN,Slayton,K12,Paper form scholarship application,MCC FFA-Ag Boosters,April 30,,no,
474690250,Church Mutual Insurance Company Foundation Inc,WI,Merrill,T20,A COMPLETED APPLICATION SHOULD BE SUBMITTED ALONG WITH A BRIEF ORGANIZATIONAL HISTORY AND BRIEF DESCRIPTION OF PREVIOUS YEAR'S ACCOMPLISHMENTS; THE PURPOSE OF THE FUNDING REQUESTS; NAMES AND BRIEF DESCRIPTION OF ROLES OF PARTNERS ON THE PROJECT; PROJECT BUDGET; ORGANIZATION'S CURRENT BUDGET; AND IRS LETTER OF DETERMINATION.,DWAYNE GANTZ,NONE,NONE,no,
454441477,By Grace Foundation Corp,NJ,Pt Pleas Bch,T20,Applicants call to introduce themselves. A needs analysis is then done to determine action plan.,Robert Gould,,"Applicants must demonstrate emergency need for food, home, tuition, or unemployment via our needs analysis.",no,
586033168,Deanfox Foundation Inc,GA,Roswell,,LETTER REQUEST,JEFF C HAMLING,NONE,PRIMARILY NEW YORK AND ATLANTA CHARITIES,no,
752743357,Patel Family Charitable Trust,TX,Vernon,B82Z,"Scholarship application, transcripts",James E Smith,First Tuesday in April,Students of Vernon Independent School District,no,
276964098,Marshall And Wilma Cochran Charitable Foundation,NE,Wisner,T20,,TERRY SODEN TRUSTEE,,,no,
346818405,Zepha & Otto Manahan Crippled Childrens Fund,OH,Brooklyn,,A LETTER STATING PURPOSE,AGNES WOLANIN ADMIN,NONE,"FUNDS ARE TO BE USED TO AID CRIPPLED CHILDREN (UNDER AGE 21) IN THE TOLEDO, OHIO AREA",no,
472094827,Neal W Krouse Charitable Foundation,PA,Philadelphia,T20,PAPER,NEAL W KROUSE,DECEMBER 31,NO RESTRICTIONS,no,
366123611,Wagenlis Foundation,TX,Dallas,,No Formal Application Required,Robert Self co Bank of America,,,no,
470739824,Colfax Foundation Inc,NE,Schuyler,,NO SPECIAL FORM,FRANCES SOBOTA,NONE,CITY OF SCHUYLER AND SURROUNDING AREA. PURPOSE MUST BE CIVIC OR EDUCATIONAL.,no,
356057077,A F Robertson Fam Memorial Fund,PA,Pittsburgh,,APPLICATION CAN BE OBTAINED BY SCHOOL COUNSELOR,PNC CHARITABLE TRUST GRANT REVIEW C,SEE APPLICATION,"PREFERENCE IS GIVEN TO RESIDENTS OF BROWNSTOWN AND HAMILTON TOWNSHIPS OF JACKSON COUNTY, INDIANA",no,
824907698,Julius Friedman Foundation,KY,Prospect,T20,Letter of request to Trustee,Carol Abrams,,Health and wellness purposes,no,
756437403,Laura B Jackson Charitable Trust No 1,TX,Longview,,A COPY OF THE APPLICATION IS ATTACHED.,LAURA JACKSON CHARITABLE TRUST,BY MAY 31ST OF EACH YEAR,"ONCOLOGY NURSES/ASSOCIATIONS IN THE LONGVIEW, TX AREA.",no,
50420703,Felicia Fund Inc,RI,Providence,T22,NO SET FORM,PAULINE C METCALF,NO SET DEADLINES,"FELICIA FUND, INC. WILL CONSIDER FUNDING PROJECTS PRIMARILY ON NORTHEAST SEABOARD OF USA WHICH RELATE TO ARCHITECTURE, ART, HISTORIC PRESERVATION AND RELATED EDUCATIONAL PURSUITS.",no,
60944728,Rock Foundation,NY,New York,,"DETAILED REQUEST CONTAINING APPLICANTS HISTORY EDUCATION, TRAINNING AND OBJECTIVES",ADELAIDE DE MENIL,APRIL 1ST FOR THE FOLLOWING YEAR STARTING JUNE 1ST AND ENDING MAY 31ST,NO,no,
911979191,The Shepherd Foundation,MO,Saint Louis,,"NO SPECIFIC FORM IS REQUIRED, BUT WRITTEN SOLICITATION IS PREFERRED. THE APPLICATION MUST SHOW THE NAME AND ADDRESS OF THE RECIPIENT ORGANIZATION, THE INTENDED USE OF THE REQUEST, AND THE TAX STATUS AND PURPOSE OF THE ORGANIZATION MAKING THE REQUEST. NO TELEPHONE SOLICITATIONS WILL BE ACCEPTED.",THE SHEPHERD FOUNDATION,NONE SSPECIFIED,"GRANTS ARE EVALUATED ON A INDIVIDUAL BASIS AND COMPARED TO THE PURPOSES OF OUR FAMILY FOUNDATION. BEFORE SEEKING FUNDING, IT IS ADVISED THAT ALL GRANT APPLICANTS SECURE THE SPONSORSHIP OF AT LEAST ONE DIRECTOR. EVERY APPROVED GRANT MUST BE FUNDED FROM THE ANNUAL ALLOCATION OF A DIRECTORS FUNDS.",no,
133614414,Athanasiades Cultural Foundation Inc,NY,Astoria,T20,Cumulative college transcripts including study of Greek language as of June of award year,Athanasiades Cultural Foundation In,Last Friday of October,Undergraduates after completing first year of college,no,
446008249,John W & Effie E Speas Memorial Trust,TX,Dallas,,"GUIDELINES AND ONLINE APPLICATION AVAILABLE AT WEBSITE, www.bankofamerica.com/philanthropic/search-for-grants",TONY TWYMAN - BANK OF AMERICA NA,3/31 AND 8/31,"RESTRICTED TO QUALIFYING ORGANIZATIONS IN THE GREATER KANSAS CITY, MISSOURI & KANSAS CITY, KANSAS AREAS",no,
581637392,The Bantly Charitable Trust,GA,Buckhead,,"NAME, HOME ADDRESS, BUSINESS ADDRESS, MARITAL STATUS, AGE, SEX, OVERALL CONDITION OF HEALTH, GENERAL NATURE OF COURSE OF STUDY FOR WHICH GRANT IS REQUESTED, INSTITUTION AT WHICH STUDY IS TO BE CONDUCTED, ACADEMIC HISTORY, EMPLOYMENT HISTORY, ONE PERSONAL REFERENCE AND 2 PROFESSIONAL REFERENCES, A COMPLETE DESCRIPTION OF THE REASONS YOU FEEL YOUR WORK IS IMPORTANT, THE ANTICIPATED EXPENSES, THE AMOUNT OF THE GRANT REQUESTED AND WHETHER OR NOT, TO THE BEST OF YOUR KNOWLEDGE, THERE ARE ANY SIMILAR PROJECTS CURRENTLY BEING CONDUCTED.",THOMAS BANTLY,NONE,NONE,no,
