EIN_value,FormAndInfoAndMaterialsTxt,RecipientPersonNm,SubmissionDeadlinesTxt,RestrictionsOnAwardsTxt,OnlyContriToPreselectedInd,CurrentYearGrantAmount
411670398,"WRITTEN APPLICATION WITH EDUCATIONAL BACKGROUND, FINANCIAL NEED FACTORS",PENNY WINSLOW,NONE,SCHOLARSHIPS TO MEMBERS OF A MINORITY GROUP,no,N/A
046837174,IN LETTER FORM,NILE MARTINA ALBRIGHT,NONE,NONE,no,N/A
133193737,NO SPECIAL FORMAT IS REQUIRED. APPLICANT SHOULD EXPLAIN THE BACKGROUND OF THE ORGANIZATION AND THE PROPOSED USE(S) OF THE REQUESTED GRANT.,CHRISTOPHER C SCHWABACHER,NO SUBMISSION DEADLINES ARE APPLICABLE.,"PROGRAMS THAT ASSIST EMERGING ARTISTS OR PROMOTE ART EDUCATION. ALSO, PROGRAMS THAT PROTECT AND PRESERVE THE SEAS.",no,N/A
370661226,APPLICATION INFORMATION AS PROVIDED IN TRUST BROCHURE,MR CHRIS SIUDYLA,NONE,"EDUCATIONAL AND CHARITABLE ORGANIZATIONS LOCATED WITHIN CITY OF DECATUR, IL",no,N/A
237030162,Letter of Request - IRS Exemption Letter - Mission Statement,Helen B Simon - Bridewell-Henning F,On or before September 1,"Per Terms of Trust Document - Organizations in Jefferson County, IL",no,N/A
431713377,"THE APPLICATION FORM AND REQUIRED CONTENTS ARE LOCATED AT THE NATIONAL GARDEN CLUBS, INC. WEBSITE: HTTP://WWW.GARDENCLUB.ORG/SCHOLARSHIPS/INSTRUCTIONS- GUIDELINES.ASPX",KAREN BLACKMORE,MARCH 1ST,"SCHOLARSHIPS ARE AWARDED TO MISSOURI RESIDENTS ATTENDING AN ACCREDITED UNIVERSITY OR COMMUNITY COLLEGE IN A DEGREE PROGRAM OF BOTANY, PLANT GENETICS, AND/OR RELATED FIELDS.",no,N/A
202041985,NONE,JEFFREY UMOSELLA,NONE,NONE,no,N/A
520943739,see Part XVI-b,Paul D Dolinsky,see Part XVI-b,see Part XVI-b,no,N/A
486117541,Guidelines available upon request,Douglas S Pringle,N A,Wichita Kansas and environs; Bentonville Arkansas; Boston Massachusetts; Minneapolis Minnesota; Edinburgh Scotland and environs,no,N/A
133978415,"AT THE PRESENT TIME, THE FOUNDATION IS NOT MAKING GIFTS OTHER THAN TO 501(C)3 ORGANIZATIONS",THE RICHARD MEIER FOUNDATION CO RIC,NO ESTABLISHED DEADLINES AT THE PRESENT TIME,NO RESTRICTIONS ON GRANTS OR GIFTS TO 501(C)3 ORGANIZATIONS,no,N/A
366108293,APPLICATION FORM AVAILABLE FROM FOUNDATION OFFICE AND WEBSITE,EVETTE CARDONA,CONTINUOUS,MUST BE ORGANIZATION EXEMPT UNDER SEC 501(C)(3),no,N/A
943070732,LETTER FORM,NICOLE BRIDGES,NONE,THE TRUST WAS CREATED TO PROVIDE SCHOLARSHIPS FOR CHILDREN OF THE MEMBERS OF LOCAL 10 OF THE INTERNATIONAL LONGSHORSMEN AND WAREHOUSEMEN'S UNIONS.,no,N/A
205196977,"Application for grants should be submitted in the form of a letter addressed to the Board of the Foundation. The letter must include: 1. the amount of grant requested, 2. a statement of how the grant will be used, 3. a statement of the benefits to be derived from such a grant, 4. a statement of need, and 5. a statement verifying the applicant's 501(c) status Other documents, such as a brief history of the applicant's organization,statistical information, etc. may be submitted with the request.",CO SANFORD PAILET,NONE,NONE,no,N/A
541839136,WRITTEN REQUEST,JUDITH B MORENOFF,NONE,CONTRIBUTIONS ARE MADE ONLY TO 501 (C)(3) ORGANIZATIONS.,no,N/A
202826650,APPLICATION FORM;TRANSCRIPT;RESUME;ESSAY; 2 LETTERS OF RECOMMENDATION,DUNITZ SCHOLARSHIP COMMITTEE,APRIL 1,,no,N/A
582145787,WRITTEN REQUEST.,JANE MANNING,NONE,NONE,no,N/A
376051459,NO REQUIRED FORM,RECIPIENTS ARE DETERMINED BY THE AD,NONE,NONE,no,N/A
426660492,WRITE TO ADDRESS ABOVE,LANGDON B WHEELER,WRITE TO ADDRESS ABOVE,501(C)(3) PUBLIC CHARITIES REGISTERED IN MASSACHUSETTS,no,N/A
421607170,Applications must be in writing,Foundation,None,None,no,N/A
201672681,"EACH APPLICANT MUST COMPLETE A GRANT APPLICATION COVER SHEET WITH BASIC INFORMATION ON THE AGENCY AND PROJECT FOR WHICH THE GRANT IS REQUESTED. ATTACHED TO THIS COVER SHEET IS THE FOLLOWING: EXECUTIVE SUMMARY - WHY AGENCY IS REQUESTING GRANT, WHAT OUTCOMES THEY HOPE TO ACHIEVE, AND HOW THEY WILL SPEND THE FUNDS APPLICATION NARRATIVE - PURPOSE OF THE GRANT, PLANS FOR EVALUATION OF RESULTS OF GRANT, AGENCY INFORMATION GRANT APPLICATION BUDGET IRS DETERMINATION LETTER INDICATING TAX EXEMPT STATUS LIST OF BOARD OF DIRECTORS",DUKES HEALTH CARE FOUNDATION,APPLICATION MUST BE FILED ANNUALLY BY NOVEMBER 30.,"APPLICANTS MUST USE GRANT FUNDS TO BENEFIT THE HEALTH OF MIAMI COUNTY, INDIANA RESIDENTS.",no,N/A
840751642,"THERE IS NO SPECIFIC FORM TO COMPLETE BY THE APPLICANT. HOWEVER, THE STUDENTS APPLICATION MUST INDICATE THE COLLEGE TO BE ATTENDED AND THE MAJOR THAT HAS BEEN SELECTED. IF A MAJOR HAS NOT BEEN SELECTED THEN A DATE WHEN A MAJOR WILL BE SELECTED MUST BE INDICATED.",SHANNON GERBER,THERE IS NO DEADLINE,"EDUCATIONAL ASSISTANCE AWARDS ARE AWARDED TO HIGH SCHOOL GRADUATING SENIORS FROM HIGH SCHOOLS LOCATED IN BACA COUNTY COLORADO. THE MAXIMUM ANNUAL AWARD PER INDIVIDUAL IS $3,000.",no,N/A
953806444,N/A,Cristopher Foundation,12/31/2020,N/A,no,N/A
043409527,NO SPECIFIED FORM IS REQUIRED,EDWARD R BEDROSIAN,NONE,"THE FOUNDATION MAKES CONTRIBUTIONS FROM TIME TO TIME TO VARIOUS ORGANIZATIONS AS DESCRIBED IN SECTIONS 501(C)(3), 170(C), 2055(A), AND 2522(A) OF THE INTERNAL REVENUE CODE",no,N/A
954017335,LETTER REQUEST,PHILIP C PUTNAM ESQ,NONE,CHARITABLE AND EDUCATIONAL PURPOSES AND FOSTERING NATIONAL AND INTERNATIONAL SPORTS COMPETITIONS (EXCLUDING PROVISION OF ATHLETIC FACILITIES).,no,N/A
481276800,NO FORM REQUIRED.,CHARLES F NICHOLS,NONE NONE,NONE,no,N/A
843998329,"APPLICATIONS MUST BE FILLED OUT ON THE WEBPAGE, WWW.SOUTHCAROLINAEMSFOUNDATION.COM.",SOUTH CAROLINA EMS FOUNDATION,GRANTS ARE AWARDED BASED ON AVAILABILITY OF FUNDS. GRANT AMOUNTS WILL BE DETERMINED EACH YEAR BASED,ALL DHEC LICENSED EMS ENTITIES ARE ELIGIBLE TO APPLY FOR ASSISTANCE FROM THE SOUTH CAROLINA EMS FOUNDATION UTILIZING THE SOUTH CAROLINA EMS FOUNDATION APPLICATION.,no,N/A
261817519,In writing; cover letter with pertinent financial information,Tyler F Post,None,contact above,no,N/A
311777685,N/A,ALLA ORSA ROMANO,,,no,N/A
464378426,LETTER STATING PURPOSE OF SOLICITATION & ANY APPLICABLE BROCHURES,JACOB WEISS,NONE,NONE,no,N/A
223338066,IN WRITING W/ COPY OF THE IRS DETERMINATION LETTER STATING THE ORG. IS A TAX-EXEMPT CHARITABLE ORGANIZATION.,J PETER SIMON,NO,NONE,no,N/A
136742999,N/A,AMY BERMINGHAM,N/A,N/A,no,N/A
873939073,NO SPECIAL FORM IS REQUIRED.,MICHAEL AND CARMEN HUMPHREY,DEC 15TH,"1. NO POLITICAL CONTRIBUTION. 2. NO TESTING FOR PUBLIC SAFETY. 3. NO PARTICIPATION IN INTERNATIONAL OR AMATEURS SPORTS. 4. NO PARTICIPATION IN CRUELTY OF CHILDREN AND ANIMAL. 5. NO INTERNATIONAL TRAVELS, STUDIES, OR ANY OTHER MATTERS OUTSIDE THE UNITED STATES.",no,N/A
262661513,SUBMIT GRANT APPLICATION IN WRITING UTILIZING THE FOUNDATIONS GRANT APPLICATION FORM.,DENNIS R AND CATHY M FRYMAN,NO SUBMISSION DEADLINES,NO LIMITATIONS OR RESTRCTIONS ON AWARDS,no,N/A
821813199,ONLINE APPLICATION,INTERNATIONAL SCHOLARSHIP AND TUITI,NONE,NONE,no,N/A
421172652,SCHOLARSHIP FUND APPLICATION FORM,,NONE,GRADUATES OF WINTERSET COMMUNITY HIGH SCHOOL,no,N/A
822433650,INFORMATION REGARDING SUBMISSION OF APPLICATIONS IS ON THE WEBSITE.,ROGER SMITH,A DEADLINE FOR APPLICATION SUBMISSION IS MARCH 1ST EACH CALENDAR YEAR.,NO RESTRICTIONS OR LIMITATIONS.,no,N/A
156018481,ALL REQUESTS SHOULD BE IN WRITING. REQUESTS SHOULD INDICATE A BRIEF DESCRIPTION OF THE ORGANIZATION REQUESTING THE FUNDS AND THE PURPOSE OF THE REQUEST AND A BUDGET.,MARY OPPERMAN PRESIDENT,NONE,THE FOUNDATION'S POLICY IS TO MAKE THE FUNDS AVAILABLE TO VOLUNTARY AGENCIES SERVING THE TOMPKINS COUNTY AREA.,no,N/A
391892120,"APPLICATIONS SHOULD CONTAIN ALL NECESSARY INFORMATION CONCERNING THE PURPOSE OF THE GRANT, LOAN, ETC., INCLUDING WHERE THE APPLICANT CAN BE CONTACTED.",JOHN H ANN GHRIST FAMILY FOUNDATION,N/A,GRANTS WILL BE MADE TO 501(C)(3) ORGANIZATIONS THAT ARE NOT PRIVATE FOUNDATIONS.,no,N/A
562055212,WRITTEN APPLICATION FOR INTENDED USE OF FUNDS,J BUCKLEY STRANDBERG,NONE,RESTRICTED TO ROCKY MOUNT,no,N/A
562453619,"ELIGIBILITY REQUIREMENTS, GUIDELINES, FUNDING PRIORITIES, APPLICATION DEADLINES AND APPLICATION FORMS ARE AVAILABLE ON THE FOUNDATION'S WEBSITE AT WWW.NEWALLIANCEFOUNDATION.ORG UNDER ""APPLYING FOR A GRANT"".",MARYANN OTT,"PLEASE REFER TO OUR WEBSITE WWW.NEWALLIANCEFOUNDATION.ORG UNDER ""APPLYING FOR A GRANT"".","GRANTS ARE AWARDED TO ESTABLISHED NOT-FOR-PROFIT ORGANIZATIONS, CLASSIFIED AS TAX-EXEMPT UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE. FOR ADDITIONAL RESTRICTIONS OR LIMITATION PLEASE REFER TO OUR WEBSITE WWW.NEWALLIANCEFOUNDATION.ORG UNDER ""APPLYING FOR A GRANT"".",no,N/A
203487695,NO SPECIFIC FORMAT REQUIRED,LARRY,NO SPECIFIC DEADLINES,LIMITATIONS ARE DETERMINED BT THE TRUSTEES,no,N/A
710812242,N/A,,,ALL FUND ARE TO BE HELD TO SUPPORT THE BOONEVILLE SCHOOL DISTRICT,no,N/A
946073762,"APPLY ONLINE AT WWW.WELLSFARGO.COM/PRIVATE-FOUNDATIONS OR BY LETTER, INCLUDING FINANCIAL INFORMATION OF ORGANIZATION, TAX STATUS, AND PROPSED USE OF FUNDS REQUESTED.",WELLS FARGO GRANT ADMIN TEAM,JUNE 30,RESTRICTED TO ORGANIZATIONS WHICH BENEFIT THE CHILDREN RESIDING IN SAN FRANCISCO COUNTY.,no,N/A
112722123,N/A,JOHN MOCCIO,,,no,N/A
814497164,Please see the website for applications: http://thecooperfamilyfoundation.weebly.com/,RAJAA SHAKIR COOPER,Please see the referenced website.,Please see the referenced website.,no,N/A
900863588,SEE STATEMENT FOR LINE 2A,CHRIS PEDRETTI,SEE STATEMENT FOR LINE 2A,SEE STATEMENT FOR LINE 2A,no,N/A
043371064,APPLICATIONS ARE USUALLY IN THE FORM OF A LETTER,BARBARA W AND STEPHEN R ROOP,NONE,NONE,no,N/A
113602012,LETTERS OF RECOMMENDATIONS AND DESCRIPTIONS OF ACTIVITIES,ROBERT FRIEDMAN,NONE,NONE,no,N/A
366054662,1. APPLICATION (CAN BE FOUND ONLINE)2. OFFICIAL TRANSCRIPTS OF ALL COLLEGE WORK3. THREE RECOMMENDATIONS,FAYRENE WRIGHT,NOVEMBER 15TH,AWARDS CAN BE UP TO FULL TUITION. HOWEVER THE AMOUNT OF AN AWARD VARIES DEPENDING ON INDIVIDUAL NEED AND TUITION COSTS.,no,N/A
870956360,PAPER APPLICATION,COLDWATER MULTIPLE DONATIONS,AUGUST 31,NONE,no,N/A
256347429,SEE FOOTNOTES,PNC Bank Charitable Trust Grant Rev,SEE FOOTNOTES,SEE FOOTNOTES,no,N/A
471089574,N/A,NICOLAS ARONS,,,no,N/A
840440750,AMOUNT REQUESTED AND CHARITABLE PURPOSE FOR FUNDS.,FRANKLIN D RICHARDS JR,NONE,NONE,no,N/A
866635905,"SCHOLARSHIPS GIVEN DIRECTLY TO STUDENTS FOR POST SECONDARY EDUCATION, NO APPLICATION FORMAT.",BILLIE P NEUMAN,NO SUBMISSION DEADLINES,NO RESTRICTIONS OR LIMITATIONS,no,N/A
206948425,CONTACT NEW SMYRNA BEACH HIGH SCHOOL GUIDANCE DEPARTMENT,NEW SMYRNA BEACH HIGH SCHOOL,APPLICABLE FOR GRADUATING SENIORS,GRADUATING SENIORS; SCIENCE AND ENGINEERING,no,N/A
760585077,NO PRESCRIBED FORM,BRUCE M LEVY,NONE,NONE,no,N/A
550435910,NO PRESCRIBED FORM,EDWARD W MORRISON,NO SUBMISSION DEADLINES,ONLY FOR EDUCATIONAL OR CHARITABLE PURPOSES TO ORGANIZATIONS CLASSIFIED UNDER SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE,no,N/A
812319030,"Grant Application, available on requestAttachments:Copy of IRS determination letter indicating 501(c)(3)tax-exempt statusList of Board of DirectorsAnnual ReportProjected Financial information for project being consideredList of other funders and amounts committed for specified project",Stephen Brewer,NA,"Grants are only awarded to organizations that qualify as exempt organizations per IRS regulations, and are located in the geograhic region (Barre, Paxton, Princeton and surrounding towns) served by the former Barre Savings Bank.",no,N/A
232612150,No Special Form,Joseph A O'Connor Jr - Co-Trustee,None,"The Trustees are requested but not required to consider funding on an annual basis a course or courses at the University of Pennsylvania based on the study of political parties existing in the United States at the times the courses are givin, their structure, aims, teaching and practices, their current significance and their possible future effect on the political structure and goverment of the United States. The Trustees msy make distributions or expenditures exclusively for charitable, scientific, literary or educational purposes as they deem proper but they are requested that any such distributions, including any such distribution to fund a course at the University of Pennsylvania, be made for the purpose of forstering education in conservative political philosophy and thought.",no,N/A
364129119,COMPLETION OF A SCHOLARSHIP APPLICATION FORM - AVAILABLE FROM THE ROBERT N. BREWER FAMILY FOUNDATION UPON REQUEST.,THE ROBERT N BREWER FAMILY FOUNDATI,NONE,"ONLY FOR GRADUATES OF HERRIN HIGH SCHOOL AND MARION HIGH SCHOOL, WHO HAVE ACHIEVED A CUMULATIVE GRADE POINT AVERAGE OF ""C OR BETTER.",no,N/A
881021500,TBD,GOOD DREAM FOUNDATION,TBD,TBD,no,N/A
650145696,ANY,LUBEE BAT CONSERVANCY ATTN BRIAN PO,NONE,ANIMAL RESEARCH,no,N/A
680310367,RENTAL APPLICATION,BRIAN DEASON,VARIOUS,NONE,no,N/A
830656731,"Name, address, phone, reason for assistance",Alanna McFatridge,none,none,no,N/A
046112332,A LETTER DESCRIBING THE NATURE OF PRESENT ASSOCIATION OF SERVICE TO THE CLUB AND THE PURPOSE OF THE REQUEST FOR A GRANT.,TRUSTEES OF THE SOMERSET CLUB CHARI,NONE,"RELIEF OF PERSONS WHO ARE RENDERING OR HAVE RENDERED SERVICE TO THE SOMERSET CLUB AND THEIR IMMEDIATE FAMILY WHO ARE IN NEED OF FINANCIAL ASSISTANCE DUE TO OLD AGE, SICKNESS, ACCIDENT, INJURY, OR MISFORTUNE.",no,N/A
814498691,N/A,PAUL MARSHALL,,,no,N/A
421454326,PAPER APPLICATION REQUIRED.,BRUNO ANDREINI,ANNUAL,SCHOLARSHIPS ONLY AWARDED TO MEMBERS OF THE IOWA SNOWMOBILE ASSOCIATION.,no,N/A
383197360,CUNNINGHAM SCHOLARSHIP FOUNDATION APPLICATION FORM AND GRADE TRANSCRIPT.,LOUIS E CUNNINGHAM,ANNUALLY IN THE SPRING - DATES ARE LISTED EACH YEAR ON APPLICATION INFORMATION.,"AWARDS ARE RESTRICTED TO EXPENSES FOR TUITION, BOOKS, ROOM & BOARD AT INSTITUTIONS OF HIGHER EDUCATION. GRADE POINT REQUIREMENTS MUST BE MAINTAINED.",no,N/A
364171713,WRITTEN REQUIREMENTS DOCUMENT AVAILABLE ON REQUEST,JOHN STEFFEN CO-TRUSTEE,APRIL 1ST & SEPT 1ST: UNLESS SPECIAL BOARD APPROVAL,PERFORMING & VISUAL ARTS IN THE ELGIN AREA,no,N/A
650541059,"APPLICANTS SHOULD SUBMIT A BRIEF HISTORY OF THEIR ORGANIZATION, THE REASON FOR THE GRANT, THE AMOUNT NECESSARY AND AN IRS EXEMPTION LETTER",STEFANIE VON CLEMM,NONE,"THE FOUNDATION ACCEPTS REQUESTS PRIMARILY FOR SCIENTIFIC, EDUCATION AND CULTURAL ACTIVITIES",no,N/A
383018982,LETTER WHICH INCLUDES WHY FUNDS ARE REQUESTED AND HOW THE FUNDS WILL BE USED.,OLIN MURIEL PRATHER CHARIT FOUND,SEE STATEMENT FOR LINE 2B,SEE STATEMENT FOR LINE 2B,no,N/A
953806444,N/A,Cristopher Foundation,12/31/2020,N/A,no,N/A
251024349,NO SOLICITATIONS FROM GRANTEES ARE DESIRED AT THIS TIME,JAMES L SMITH,NO SOLICITATIONS FROM GRANTEES ARE DESIRED AT THIS TIME,NO SOLICITATIONS FROM GRANTEES ARE DESIRED AT THIS TIME,no,N/A
520669694,"NO PRESCRIBED GUIDELINES FOR ORGANIZATIONS; INDIVIDUALS MAY APPLY FOR GRANTS WHEN COSTS FOR MENTAL HEALTH AND MEDICAL PROCEDURES THAT ARE REQUIRED FOR THEIR PHYSICAL WELLNESS ARE NOT FULLY COVERED BY INSURANCE. THE BOARD, WHICH INCLUDES A MEDICAL PROFESSIONAL, OBTAINS INFORMATION ON THE MEDICAL NECESSITY OF THE PROCEDURE OR SERVICES BY OBTAINING FEEDBACK FROM THE INDIVIDUAL'S PHYSICIAN. THE GRANTS ARE THEN PAID DIRECTLY TO THE DOCTOR'S OFFICE IN WHICH THE MEDICAL PROCEDURES ARE PERFORMED AND/OR REIMBURSEMENT IS MADE TO THE GRANTEE FOR THE MEDICAL COSTS ALREADY INCURRED AND PAID.",ANY OFFICER LISTED,NONE,"LIMITED TO MARYLAND COUNTIES OF FREDERICK AND WASHINGTON FOR SERVICES, FACILITIES, AND EQUIPMENT FOR DISABLED INDIVIDUALS.",no,N/A
260233243,LETTER,DEANN HALPER SIMMONS,NONE,NONE,no,N/A
823397770,N/A,HASAN ASKARI,,,no,N/A
060948041,BENEFICIARIES ARE CHOSEN THROUGH SPONSORSHIPNOT THROUGH APPLICATION,ARON BRESLOW,NO DEADLINES,NONPROFIT BENEFICIARIES ONLY,no,N/A
066041097,"A LETTER STATING THE PURPOSE OF THE REQUEST, ANNUAL BUDGET, OTHER FUNDING AND GEOGRAPHIC AREA IN WHICH PROCEEDS WILL BE DISTRIBUTED.",MADISON PINSINSKI,NONE,ORGANIZATIONS WITHIN THE LOCAL GEOGRAPHIC AREA OF THE FOUNDATION'S CORPORATE OFFICES ARE GENERALLY SUPPORTED.,no,N/A
042103796,APPLICATIONS SHOOULD BE IN THE FORM OF A SIMPLE LETTER GIVING A BRIEF SUMMARRY OF THE PROPOSAL AND HOW THE FUNDS ARE TO BE USED. (NO PREDETERMINED FORMAT.),JOHN CREEDON TRUST,NO SUBMISSION DEADLINES,THERE ARE GEOGRAPHICAL RESTRICTIONS: WITHIN 35 MILES OF BOSTON. THE FUND MUST BE USED FOR ELDERLY SITUATIONS (60 YEARS OR OLDER). WE DONATE TO CHARITABLE AND NON-CHARITABLE INSTITUTIONS AND WE REQUEST A FOLLOWUP ATTESTATION FROM THE DONEE AS TO THE ACTUAL EXPENDITURES OF THE FUNDS.FUNDS MAY NOT BE USED TO FUND SALARIES OF CAOITAL BUILDING PROJECTS.,no,N/A
251822243,"Applicants should become familiar with the giving guidelines, which are subject to change without notice. Each request is analyzed on a case-by-case basis. Grants are made on an annual basis. All requests must be submitted in writing, and include proof of IRS 501 (c)(3) tax-exempt status, description of the organization and the specific program for which it seeks support, description of how the grant will benefit the community, the amount being requested, an itemized budget for any project, and past record of support, by the Foundation or Dollar Bank. The Foundation receives more funding request than it can grant in any year. If it is necessary to decline support of a worthwhile organization or program, the decision is not an adverse reflection on the value of the non-profit or its service. Contributions of grants do not establish entitlement for continuing support.",DOLLAR BANK FOUNDATION CO DOLLAR BA,NO,"As a general rule, the Foundation will not provide support to organizations outside the geographic boundaries served by Dollar Bank and its subsidiaries. In addition, the Foundation generally will not support organizations without IRS 501(c)(3) tax-exempt status, individuals, political organizations, candidates or lobbying efforts, labor or fraternal organizations, religious organizations, with respect to religiously oriented activities and/or programs, hospital or other health care delivery facilities that are not 501 (c)(3) non-profits, non-academic efforts at the elementary thru high school levels, sports teams, or capital campaigns. Note: IRS rules prohibit any contributions that would result in a direct benefit to Dollar Bank or its employees.",no,N/A
136086169,NONE,ROBERT J GIUFFRA JR ESQ,NONE,NONE,no,N/A
862863597,N/A,SCHOLARSHIPS,N/A,N/A,no,N/A
046462394,NO FORMAL REQUIREMENTS,CAMERON CURTIS SMITH,NONE ADOPTED,NONE,no,N/A
846031485,"NO REQUIRED FORMAT, GRANT REQUESTS MUST BE BY GOVERNMENTAL UNITS OR 501(C)(3) NON PROFIT ENTITIES.",DAVID KITCH,VARIES FROM YEAR TO YEAR.,GRANTS WILL BE AWARDED ONLY TO NON PROFIT AND GOVERNMENTAL UNITS THAT ARE IN THE SERVICE AREA THAT WAS COVERED BY THE FORMER HOSPITAL FROM WHICH THE GRANT FUNDS WERE GENERATED.,no,N/A
854306286,"A WRITTEN GRANT PROPOSAL MUST BE SUBMITTED THAT WILL DETAIL THE PROJECT TO BE FUNDED, THE MANNER IN WHICH THE FUNDING WILL BE SPENT TO FURTHER THE PROJECT'S PURPOSE.",ANTHONY J POMPLIANO III,NO SUBMISSION DEADLINE,FOUNDATION WILL CONSIDER GRANT REQUEST FROM 501(C)(3) ORGANIZATIONS WHOSE EMPHASIS IS ON HUMAN AND REFUGEE/IMMIGRATION RIGHTS. THE ORGANIZATION REQUESTING THE FUNDING MUST PREPARE AND SUBMIT PERIODIC WRITTEN REPORTS ON THE FUNDS USE AND A FINAL REPORT ON THE EXHAUSTION OF THE GRANT FUNDING.,no,N/A
813628242,THEY SHOULD SUBMIT A FUND REQUESTING LETTER WHICH INCLUDESA DESCRIPTION OF THE ORGANIZATION AND THE INTENDEDPURPOSES OF THE FUND.,ZHUYUAN LIU,NONE,NONE,no,N/A
710556734,"REQUEST FORM, FINANCIAL STATEMENTS AND BUDGET",JILL ROWLAND,NONE,RESTRICTED GEOGRAPHICALLY TO FORT SMITH AR AND CHARITIES FOR CHILDREN,no,N/A
383048526,SEE ATTACHMENT,THE MEEMIC FOUNDATION,SEE ATTACHMENT,SEE ATTACHMENT,no,N/A
046092944,LETTER DESCRIBING ORGANIZATION AND INTENDED USE OF FUNDS,CHARLES B ABBOTT CO NUTTER MCCLENNE,NONE,NONE,no,N/A
931331876,APPLICATION SHOULD BE IN WRITING AND THE USE OF THE FUNDS SHOULD BE STATED,JASON E ZIDELL,NONE,NONE,no,N/A
473433236,ELECTRONICALLY SUBMITTED APPLICATION ONLINE AT HTTPS://WWW.FARBERBAGGENSTOSFOUNDATION.ORG/INDEX.PHP/GRANT-APPLICATION -DOWNLOAD-AND-SUBMISSION,Farber Baggenstos Foundation,JUNE 1 OF EACH YEAR,See www.farberbaggenstosfoundation.org,no,N/A
232338697,SELECTION IS MADE BY HIGH SCHOOL OFFICIALS FROM REQUESTED DOCUMENTATION THEY DEEM APPROPRATE.,HEAD SOCCER COACH,,MUST BE A MEMBER OF NESHAMINY SOCCER TEAM & HAVE FINANCIAL NEED TO PAY FOR COLLEGE.,no,N/A
561670486,REFERAL FROM LOCAL CHURCHES,VICTORIA DOCKERY,DAILY,NEED,no,N/A
263541160,Form requested from foundation will be emailed. Form to be completed and returned.,DEDE FASKEN,None,None,no,N/A
470628910,NO SPECIFIC FORM,MIKE JONES,NONE,NONE,no,N/A
208863647,LETTERS OF RECOMMENDATIONS AND DESCRIPTIONS OF ACTIVITIES,ROBERT FRIEDMAN,NONE,NONE,no,N/A
250965465,SEE WWW.PITTSBURGHCHILDGUIDANCEFOUNDATION.ORG,PAM GOLDEN THE PITTSBURGH CHILD GUI,SEE WWW.PITTSBURGHCHILDGUIDANCEFOUNDATION.ORG,SEE WWW.PITTSBURGHCHILDGUIDANCEFOUNDATION.ORG,no,N/A
232516754,"LETTER FORM, INCLUDING ANY INFORMATION WITH REGARD TO REQUEST SUBMITTED",J REED GOODING,NONE,NONE,no,N/A
736097262,"THE APPLICATION MUST BE MADE IN AN APPORVED FORMAT, AND MUST SPECIFY PURPOSE AND NEED.",MASONIC CHARITY FOUNDATION OF OKLAH,NO SPECIFIC DEADLINES ARE APPLICABLE,"SUPPORT OF CHARITABLE, BENEVOLENT, EDUCATIONAL, AND PHILANTHROPIC ORGANIZATIONS OR PURPOSES",no,N/A
454244517,written statement of need,Frehowit Derso,12/31/2023,none,no,N/A
821914830,N/A,Matt Moon,,,no,N/A
431134135,NO FORM HAS BEEN SET,KAREN COOK,NONE,ELDERLY BENEFITS AND LOCAL SCHOOL DISTRICTS.,no,N/A
832527730,N/A,SCOTT C GRAINGER,,,no,N/A
582003014,"THE APPLICATION SHOULD BE IN LETTER FORM, INCLUDE THE ORGANIZATION NAME, AND DESCRIPTION OF ACTIVITY.",HOLLY PORTIER,N/A,NO,no,N/A
946103098,Reason for request in agreement with scholarhsip foundation guidelines,Oakland school district HS graduate,None,Program is restricted to Oakland School District graduates,no,N/A
516504612,"APPLICATIONS SHOULD BE OBTAINED FROM GUIDANCE COUNSELOR AT MILFORD SENIOR HIGH SCHOOL, MILFORD, DE",CAROLYN M HUMES,MAY 1ST,"RECIPIENTS MUST BE GRADUATES OF MILFORD HIGH SCHOOL, MILFORD, DE",no,N/A
486366633,PREPRINTED APPLICATIONS,ADVANTAGE TRUST COMPANY,NONE,EMPORIA STATE UNIVERSITY STUDENTS WITH A GPA OF 3.0 OR RECOMMENDATION BY DIVISION CHAIRPERSON.,no,N/A
364323858,"THE APPLICANT MUST COMPLETE AND SUBMIT THE ORGANIZATION'S SCHOLARSHIP APPLICATION BY THE SUBMISSION DEADLINE. THE APPLICATION INCLUDES INFORMATION REGARDING THE STUDENT'S SCHOOLING, COMMUNITY AND SCHOOL ACTIVITIES, DISCLOSURE OF KNOWN FINANCIAL AID, AND A 200-300 WORD ESSAY. IN ADDITION, A HIGH SCHOOL TRANSCRIPT AND LETTERS OF RECOMMENDATION ARE REQUIRED TO BE ATTACHED.",OBERLIN CHARITABLE TRUST CO FIRST M,MARCH 16,"APPLICANT MUST BE A HIGH SCHOOL SENIOR GRADUATING FROM ONE OF THE FOLLOWING HIGH SCHOOLS: ALTAMONT, BEECHER CITY, DIETERICH, EFFINGHAM, NORTH CLAY, ST. ANTHONY, ST. ELMO, STEWARDSON, OR TEUTOPOLIS.",no,N/A
462186327,"OUTLINE ON WEBSITE, NEDJAQUITHFOUNDATION.ORG",NED JAQUITH FOUNDATION,OCTOBER 01 ANNUALLY,MUST BE BAMBOO RELATED RESEARCH,no,N/A
